provinceid,province_shorthand,noc_groupingid,noc_grouping,r2,euclidean distance,mae,rmse,mse,Average Actual,CV RMSE,CV MAE,MAPE,Model
35,ON,1,Professional occupations in health [31],-0.15221166314338053,76.71810544234349,14.679999084472652,17.154689887407663,294.2833851331267,306.86,0.055903962352237706,0.04783940260859236,4.675180728501605,XGB
48,AB,13,Technical trades and transportation officers and controllers [72],-0.15648644796771127,49.753661777344,8.917499542236326,11.12525698636742,123.77134301271708,229.87999999999997,0.04839593260121551,0.03879197643220953,3.8826396795504614,XGB
35,ON,13,Technical trades and transportation officers and controllers [72],-0.16493198917899066,88.67099509132116,17.54549804687499,19.82743726567443,393.1272685242551,516.4999999999999,0.038388068278169284,0.033969986537996114,3.3598503478557764,XGB
35,ON,2,"Sales and service occupations, except management [62-65]",-0.16699503177002084,279.69625088058723,52.295012207031235,62.54198300208285,3911.4996378328206,1702.6800000000003,0.03673149564338739,0.03071335318852117,3.0545758909394225,XGB
12,NS,43,Technical occupations related to natural and applied sciences [22],-0.16835481263214236,8.887474966794692,1.6140001487731932,1.9872998174080616,3.9493605642701146,14.635,0.1357908997204005,0.11028357695751236,11.530286258140324,XGB
12,NS,46,Sales and service support occupations [65],-0.17005679669610974,19.10922396782482,3.4290002822875985,4.272952378932455,18.258122032624527,45.945,0.09300146651284047,0.07463271917047772,7.391765165800761,XGB
11,PE,7,Retail sales and service supervisors and specialized occupations in sales and services [62],-0.17390977170543453,2.139135407146491,0.3485000085830688,0.47832521834562436,0.2287950145053892,2.79,0.1714427305898295,0.12491039734160171,13.507245511062111,XGB
10,NL,48,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",-0.17499522130716572,9.525239813321555,1.7339999198913574,2.1299083724574404,4.536509675064303,17.025,0.1251047502177645,0.10185021555896373,10.20579818036316,XGB
48,AB,50,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]",-0.17563224833108593,31.61489168336053,5.1839994430542005,7.069304690528691,49.975068807530945,74.77000000000001,0.09454734105294489,0.06933261258598636,6.6424363841862695,XGB
13,NB,12,Professional occupations in natural and applied sciences [21],-0.17749887926263264,6.26987949115632,1.1379998207092286,1.4019876752957323,1.9655694416811316,15.414999999999997,0.09094957348658661,0.0738241855795802,7.692691785946034,XGB
59,BC,32,"Machine operators, assemblers and inspectors in processing, manufacturing and printing [94]",-0.1812491879871314,17.28034561950781,3.0484998703002923,3.864002747991018,14.93051723648214,47.81999999999999,0.0808030687576541,0.06374947449394172,6.266932909642961,XGB
59,BC,52,"Professional occupations in law, education, social, community and government services [41]",-0.18205582777359663,53.11217323288858,9.495001373291016,11.876242978148364,141.0451472760183,196.51,0.06043581994884924,0.04831815873640535,4.997418821822111,XGB
59,BC,15,Assisting occupations in education and in legal and public protection [43],-0.1848094465600758,47.31287224174637,8.720000286102294,10.579479854330772,111.92539398819068,40.1,0.2638274277887973,0.21745636623696493,24.21689556484857,XGB
