provinceid,province_shorthand,noc_groupingid,noc_grouping,r2,euclidean distance,mae,rmse,mse,Average Actual,CV RMSE,CV MAE,MAPE
12,NS,29,Professional occupations in finance and business [11],-0.07724422772092243,11.85618346272785,1.9775372003091265,2.5872313414873345,6.693766014374352,19.83809523809524,0.13041732638318296,0.09968382430746917,9.86851511519241
48,AB,60,Occupations in front-line public protection services [421],-0.0774212687861886,14.753257012917443,2.6544288933536273,3.2194246194682035,10.364694880437986,18.490476190476187,0.17411258565241383,0.14355654586769556,15.76275604583704
13,NB,47,"Support occupations in art, culture and sport [54-55]",-0.07888255323776217,2.87904507266675,0.4859623200979766,0.6282591416516676,0.3947095490688901,2.1285714285714286,0.2951553014470922,0.22830444568361316,23.4768325846322
10,NL,25,"Occupations in manufacturing and utilities, except management [92-95]",-0.08594495837805272,6.458616836021103,1.1456714701799873,1.4093857397991856,1.9863681635492976,6.647619047619047,0.21201361415317263,0.17234312946833621,17.544853278468654
24,QC,14,"Paraprofessional occupations in legal, social, community and education services [422]",-0.08690935529876831,47.59318034370574,9.09127987777715,10.385683404224569,107.86241977278563,142.65238095238095,0.07280413642511464,0.06373030591625335,6.234506031007586
12,NS,26,Professional occupations in business [112],-0.08702439600692657,6.200858089013876,0.9570816383727483,1.3531381698373954,1.8309829066708958,9.819047619047618,0.13780747607461352,0.09747194183233616,11.161044310300861
47,SK,30,Professional occupations in engineering [213],-0.09245792955062115,4.32444203125211,0.7731869038388236,0.9436706165076848,0.8905142324599938,6.309523809523809,0.14956289016348212,0.12254283004237959,12.785927582724682
46,MB,18,"Natural and applied sciences and related occupations, except management [21-22]",-0.09745784827022241,11.273133035398377,1.9112305247553414,2.4599993073343027,6.05159659208525,44.67619047619047,0.055062870874035774,0.04277962163703067,4.259675654848517
13,NB,30,Professional occupations in engineering [213],-0.09862302084119312,3.934744481252836,0.6256083886239516,0.8586316393167082,0.7372482920356975,3.947619047619048,0.21750620537576443,0.15847739639448713,14.974572835534842
48,AB,10,Health treating and consultation services professionals [311],-0.09896366288604463,17.2112528677904,2.8117271214605815,3.7558032891273943,14.106058346620154,26.542857142857148,0.1414995857044766,0.10593159230475817,10.439061135522913
59,BC,56,Occupations in sales and services [63],-0.10161859863547162,19.000866789452473,3.134807529616876,4.1463290634494525,17.192044702405617,108.66190476190476,0.03815807455735944,0.028849186257922956,2.8356983567689262
46,MB,6,Nursing and allied health professionals [313],-0.10279043656427778,12.31976146871515,2.159371404461872,2.688392355913691,7.227453459335164,17.804761904761907,0.15099288439205003,0.1212805549443683,11.501415929414199
24,QC,50,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services [42]",-0.10356568541016764,62.34602114669329,11.341771277010986,13.605017199239976,185.09649299161555,169.92857142857142,0.08006315291692294,0.06674434547211174,6.469105523879948
59,BC,58,"Health occupations, except management [31-33]",-0.10455848127119793,35.87659998746096,6.525971787911102,7.828915958104362,61.29192507906115,242.63809523809522,0.03226581526871131,0.026895907592364317,2.698552315219675
11,PE,59,Sales and service representatives and other customer and personal services occupations [64],-0.10569243470687817,2.0889709130677585,0.3870686583482386,0.455850825414001,0.20779997503062603,5.133333333333334,0.0888021088468833,0.07540298539251401,7.4551941065024945
11,PE,8,Professional occupations in finance [111],-0.1092165862961696,1.4929826322100583,0.28308212895624507,0.3257955201598575,0.10614272095623212,1.1047619047619048,0.2949011173860779,0.2562381339690149,30.423364605358934
11,PE,21,"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]",-0.10927340944337738,1.9436739174317026,0.3584896415623578,0.42414442156867266,0.17989849034782393,0.8857142857142858,0.4788727340291465,0.4047463695058878,46.71963424386631
46,MB,21,"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]",-0.11072914175618154,5.35626780631096,0.8989578764002063,1.168833460232145,1.3661716577582492,8.738095238095237,0.13376295730177137,0.10287801310302089,9.847310128067086
47,SK,42,"Occupations in art, culture, recreation and sport, except management [51-55]",-0.11219859365005203,5.217913526741629,0.9418169140111972,1.138642081239405,1.2965057891692033,12.1,0.09410265134209958,0.07783610859596671,7.970320295424599
46,MB,59,Sales and service representatives and other customer and personal services occupations [64],-0.11749267845435307,14.880545759358403,2.787502341860882,3.2472013011673337,10.544316290302826,47.89523809523809,0.06779799893071586,0.058199989241477956,5.856802688382577
35,ON,2,"Sales and service occupations, except management [62-65]",-0.11774842886404735,286.90030169482657,51.66745889981972,62.606778543914764,3919.608719646786,1698.714285714286,0.03685539061537325,0.03041562629709343,2.985225314717203
48,AB,39,"Business, finance and administration occupations, except management [11-14]",-0.11905684849095355,65.43761676921694,10.922887047359492,14.279658673449918,203.90865183023348,390.2380952380951,0.03659216987705288,0.02799031458139712,2.74479494454242
10,NL,10,Health treating and consultation services professionals [311],-0.11994832971579594,3.0474642240699277,0.4940339714416152,0.6650112135462052,0.44223991414219654,3.91904761904762,0.16968694391822972,0.12605970109688844,11.537381856900875
59,BC,59,Sales and service representatives and other customer and personal services occupations [64],-0.12127314056394844,42.72778176715133,7.785461158696994,9.323966391691664,86.93634927339569,199.31428571428575,0.04678022128859063,0.03906123001066438,3.8503460952608854
46,MB,49,Administrative and financial supervisors and specialized administrative occupations [12],-0.12151292125241286,8.313870548553322,1.4958407403096448,1.8142352908004584,3.291449690385824,24.95714285714286,0.07269402996910823,0.05993637768842308,6.062210674024658
24,QC,4,"Helpers and labourers and other transport drivers, operators and labourers [75]",-0.12565345201349043,53.00817736373456,9.716974974416168,11.567332629569442,133.80318416310192,142.33809523809526,0.08126659704290864,0.0682668610828475,6.81688762848936
13,NB,26,Professional occupations in business [112],-0.12607517390406864,4.46855613869688,0.8202478523085875,0.9751188929875259,0.9508568554612179,7.952380952380951,0.12261974103435956,0.10314493951185834,10.477714694893251
12,NS,56,Occupations in sales and services [63],-0.12668941297853453,8.806219153333876,1.4960960369098406,1.9216745645963056,3.6928331322164003,17.961904761904766,0.10698612369173491,0.08329272739954043,8.86171963482156
12,NS,60,Occupations in front-line public protection services [421],-0.127300730462228,3.3152142181366013,0.6256635261637249,0.7234390523621341,0.5233640624826226,2.738095238095238,0.2642125234713881,0.22850320085979517,23.268969970525255
59,BC,60,Occupations in front-line public protection services [421],-0.12907227020373724,17.91943087913494,3.281621946595081,3.910340400674521,15.290762049147371,15.609523809523807,0.25050990974424936,0.21023203440664034,24.772054394416752
46,MB,12,Professional occupations in natural and applied sciences [21],-0.12999663488991864,7.816338746052928,1.237289045231743,1.7056649505335124,2.909292923478489,25.133333333333333,0.06786465320425115,0.049229007104711266,4.908868059695581
13,NB,54,Assisting occupations in support of health services [33],-0.13035739627779708,4.02888721740249,0.6828804799695117,0.8791752685803291,0.7729491528832939,11.499999999999998,0.07645002335481124,0.05938091130169668,6.078489783942442
12,NS,4,"Helpers and labourers and other transport drivers, operators and labourers [75]",-0.1339595712661632,6.057634169060809,1.0082781609925164,1.3218841481939085,1.7473777012463352,12.900000000000002,0.10247163939487662,0.07816109775135785,8.269349365417861
59,BC,22,"Labourers in processing, manufacturing and utilities [95]",-0.13741132043712811,13.961290640871004,2.4608811328843676,3.0466033886223767,9.28179220756535,15.661904761904761,0.19452317166637248,0.15712527756330716,15.327743073762633
13,NB,14,"Paraprofessional occupations in legal, social, community and education services [422]",-0.14104247803976921,4.477815662459052,0.7672822275569929,0.977139486727497,0.9548015765220761,9.480952380952381,0.10306343154835478,0.08092881355447941,8.330511091326244
24,QC,48,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",-0.14330844124389364,80.40954245555649,14.565804887300885,17.546800709492995,307.89021513866385,413.0619047619047,0.04247983294321766,0.03526300711680696,3.5703548258369486
24,QC,30,Professional occupations in engineering [213],-0.14497241650965909,24.388545988386486,4.021361875979141,5.3220170515091745,28.32386549655441,68.80476190476189,0.07734954535379104,0.05844598200260363,5.627715481410914
13,NB,48,"Management occupations [00, 10, 20, 30, 40, 50, 60, 70, 80, 90]",-0.1481087937030905,7.391526937177308,1.33725616544469,1.6129634138533389,2.601650974429417,30.633333333333336,0.05265386552295991,0.04365362890461447,4.297739978961023
12,NS,7,Retail sales and service supervisors and specialized occupations in sales and services [62],-0.14843625380298975,12.506023010364647,2.2268650602394757,2.7290379565645475,7.4476481683700015,20.414285714285715,0.1336827550451493,0.10908366285287845,11.236673381539275
12,NS,40,Therapy and assessment professionals [312],-0.14919141946122116,3.283702014282334,0.5667371906555884,0.7165625257203694,0.5134618532667551,3.3714285714285714,0.21253973220519431,0.16810001417750503,15.87217141994787
59,BC,30,Professional occupations in engineering [213],-0.15012968793219317,30.90413406222018,5.665363328760557,6.743834934627957,45.47930962550846,37.82380952380952,0.17829602622080712,0.14978299119220911,14.889914585007643
13,NB,16,Professional occupations in applied sciences (except engineering) [212],-0.15156421069662884,6.94341833873483,1.2032348137629774,1.5151781009046137,2.295764677460912,9.985714285714286,0.15173457376727176,0.1204956179734026,13.533152688098626
46,MB,27,Middle management occupations in retail and wholesale trade and customer services [60],-0.15552947930673167,8.133683910195638,1.5574397848316255,1.7749153427293287,3.150324473855971,17.180952380952384,0.10330715686617488,0.09064921142312675,9.09449896441979
11,PE,18,"Natural and applied sciences and related occupations, except management [21-22]",-0.15852093243304033,3.055400466202808,0.5291070858202401,0.6667430435608444,0.44454628613677805,5.3238095238095235,0.12523795988173284,0.09938505189825621,9.787530732675249
12,NS,8,Professional occupations in finance [111],-0.15970651540389746,9.491713702538044,1.6652176074372518,2.071261738891912,4.290125190997546,10.014285714285712,0.2068307014585362,0.16628421186962575,15.988574847346776
13,NB,6,Nursing and allied health professionals [313],-0.16200330201561797,6.520262837985245,1.1761437338207283,1.4228380002892844,2.0244679750672097,9.366666666666665,0.15190441284227238,0.12556694667125215,12.285750240122317
11,PE,54,Assisting occupations in support of health services [33],-0.16345183709388222,1.8703239978309303,0.3132298613338208,0.4081381568644124,0.1665767550886797,2.633333333333333,0.15498917349281485,0.11894804860778008,12.95209693576517
12,NS,53,"Middle management occupations in trades, transportation, production and utilities [70, 80, 90]",-0.16576601517135958,5.4370585464982915,0.8946787135795327,1.1864634451064284,1.4076955065738148,12.176190476190477,0.09744126846787249,0.07347771992635974,7.507207734872094
47,SK,55,"Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]",-0.16760928463138414,2.3884315694731955,0.40667852339318805,0.5211984980634808,0.2716478743836282,2.0857142857142854,0.24988969085235385,0.19498285368166554,22.480210989415824
35,ON,40,Therapy and assessment professionals [312],-0.16764799111473905,31.53543356196347,5.515486302461377,6.881595779568974,47.356360473381514,36.22380952380953,0.18997438066379443,0.1522613544783606,17.073290622662256
